OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
0082949c21b82a82fe4c547f8e1e7802,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Psychrosphaera,Psychrosphaera_saromensis
2c84e5e3f8f4be906a836ed99d852cd9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,,
5af9ac400847642a7eb189561eac0640,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,
7d669dc47ee22e2c8f4ff3667422e525,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,saltmarsh_clone
d572ae4a38549e9e2a8a67a6995fb3a6,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa_PCC-7319,
a73f72ec9d908c59ac235eea6bf221d4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,uncultured_bacterium
ba0ad580d6825eca949ffe96539dad8d,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,,,
37db4f3df43d9f82e61e04f6f48dea6d,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,uncultured_delta
af507779715939f163d358ba8fe3c8cc,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,
a6633957f1753de2a025828777dd7dd7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,Schleiferia,uncultured_Bacteroidetes
ab6abf2a83dbf7b08fa0de3e9f523682,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,
4743bbf3186371d07dad7460a399a066,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,uncultured_bacterium
63e307965176f9112c98c399492afe44,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mariniflexile,
50f442404f9fb73e82aff927e89276d8,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,,,
055bd962b5b66ffc74dc464bb3b23c14,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,
