OTU,BT1,BT10,BT11,BT12,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BTQ1,BTQ10,BTQ11,BTQ12,BTQ2,BTQ3,BTQ4,BTQ5,BTQ6,BTQ7,BTQ8,BTQ9,PCRNeg,PSO1,PSO10,PSO11,PSO12,PSO2,PSO4,PSO5,PSO6,PSO7,PSO8,PSO9,PSP1,PSP10,PSP11,PSP12,PSP2,PSP3,PSP4,PSP5,PSP6,PSP7,PSP8,PSP9,ZYMO1,ZYMO10,ZYMO11,ZYMO12,ZYMO2,ZYMO3,ZYMO4,ZYMO5,ZYMO6,ZYMO7,ZYMO8,ZYMO9
c3cb1081eb959561141932450c0027dd,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,828,0,0,0,0,53,0,56,0,256,115,0,0,0,62,0,0,79,0,0,0,0,0,0,0,0,23,0,0,35,47,0,0,0
c1e54c62f8551d1e49b542fc340cd93f,94,92,0,0,102,0,0,0,0,0,0,0,63,75,0,0,72,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,76,40,0,0,0,0,0,174,0,0,0,0,36,0,0,0,41,0,0,75,127,35,0,0
36f07d79a23484a0136eedb1c08aa1f2,0,0,0,697,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
750b5717a4cc70f54036d1cde654919b,0,0,0,0,78,0,0,36,0,0,0,0,0,0,0,0,24,0,32,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,204,0,699,0,0,0,0,0,0,0,0,0,0,0,11,0,0,133,0,0,0,0,27,0,0
0d3404e2c443faf2c63911989b1c01bb,130,68,0,0,0,0,3,71,0,76,0,0,175,0,0,0,48,138,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,175,0,40,0,74,0,0,0,0,0,223,0,28,0,0,70,0,0,0,137,0,36,167,0,0,0,0
61eea7b7cd969acd5e58c40ed8b58a78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
e59946dad4573e3a307539d14c0b2220,41,71,0,0,78,0,0,45,0,17,0,0,40,155,0,0,29,30,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,56,0,0,0,0,0,15,46,0,0,0,0,0,26,0,0,57,0,0,45,22,0,8,39
084f3840580d2c3e9cf12e189220fcdd,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0
3e296b1d32cd36b8cb6578b90d6f7c8b,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
c1375c446e125054ccbc15d2dabb426f,0,0,0,0,0,0,0,0,0,151,147,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018029f6b8e866e9386d8cc9945bb0ec,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,21,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
ee9cc454be50e5a2a90b7a7c6d40c75d,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,37,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,28,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0
7702595da351dbd680ca4db37a9af1bf,0,22,0,0,54,0,0,170,0,61,0,0,62,55,0,0,42,0,0,66,0,0,0,0,0,0,46,0,0,0,0,87,0,0,0,32,80,36,0,0,0,0,0,105,0,0,0,0,34,0,0,0,66,44,0,109,68,24,0,0
8442f104b4226a9c2af5845a39477cd9,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
